DateTime,9.498067 76.338848
2013-05-10,2.6376
2013-05-11,0.0000
2013-05-12,2.8542
2013-05-13,0.2656
2013-05-14,10.9836
2013-05-15,0.0000
2013-05-16,0.0000
2013-05-17,0.0000
2013-05-18,0.0000
2013-05-19,0.0000
2013-05-20,0.0000
2013-05-21,1.0485
2013-05-22,0.0000
2013-05-23,3.2031
2013-05-24,0.7302
2013-05-25,8.0367
2013-05-26,66.5468
2013-05-27,12.8429
2013-05-28,15.4767
2013-05-29,1.0916
2013-05-30,11.9161
2013-05-31,0.0000
2013-06-01,55.8815
2013-06-02,26.3545
2013-06-03,62.0546
2013-06-04,10.3193
2013-06-05,6.5524
2013-06-06,11.2154
2013-06-07,60.9496
2013-06-08,92.9670
2013-06-09,41.4177
2013-06-10,11.6888
2013-06-11,20.8932
2013-06-12,42.7210
2013-06-13,28.5075
2013-06-14,16.9268
2013-06-15,4.3643
2013-06-16,66.7993
2013-06-17,59.7089
2013-06-18,65.9610
2013-06-19,21.0790
2013-06-20,66.0852
2013-06-21,31.4746
2013-06-22,46.0744
2013-06-23,35.7344
2013-06-24,43.5941
2013-06-25,9.4512
2013-06-26,32.0246
2013-06-27,45.9456
2013-06-28,1.8257
2013-06-29,0.2537
2013-06-30,0.0000
2013-07-01,21.3519
2013-07-02,20.3874
2013-07-03,49.7926
2013-07-04,10.5380
2013-07-05,20.6291
2013-07-06,12.0190
2013-07-07,3.8995
2013-07-08,18.5975
2013-07-09,87.5991
2013-07-10,63.8797
2013-07-11,62.9549
2013-07-12,13.1922
2013-07-13,19.6765
2013-07-14,5.6391
2013-07-15,9.4911
2013-07-16,8.7655
2013-07-17,25.2301
2013-07-18,18.7330
2013-07-19,43.6874
2013-07-20,30.9883
2013-07-21,34.6296
2013-07-22,7.0646
2013-07-23,18.9398
2013-07-24,20.7410
2013-07-25,25.0681
2013-07-26,16.4728
2013-07-27,24.0752
2013-07-28,1.5719
2013-07-29,1.4570
2013-07-30,0.0000
2013-07-31,0.0000
2013-08-01,0.2934
2013-08-02,9.2521
2013-08-03,11.2819
2013-08-04,51.0303
2013-08-05,98.6804
2013-08-06,33.3258
2013-08-07,13.5904
2013-08-08,15.0383
2013-08-09,5.2521
2013-08-10,3.6342
2013-08-11,1.3182
2013-08-12,4.9189
2013-08-13,8.6791
2013-08-14,6.7997
2013-08-15,0.4440
2013-08-16,1.7042
2013-08-17,5.7194
2013-08-18,0.0000
2013-08-19,17.8602
2013-08-20,10.6876
2013-08-21,3.5030
2013-08-22,0.9196
2013-08-23,3.0701
2013-08-24,0.5668
2013-08-25,1.3201
2013-08-26,0.0000
2013-08-27,0.0000
2013-08-28,0.0000
2013-08-29,0.0000
2013-08-30,0.0000
2013-08-31,0.0000
2013-09-01,0.0000
2013-09-02,1.4320
2013-09-03,0.0000
2013-09-04,1.5421
2013-09-05,0.5471
2013-09-06,1.1118
2013-09-07,25.1710
2013-09-08,5.5187
2013-09-09,7.8425
2013-09-10,0.6232
2013-09-11,15.7133
2013-09-12,14.0860
2013-09-13,17.0794
2013-09-14,38.3267
2013-09-15,12.7741
2013-09-16,14.2055
2013-09-17,40.3938
2013-09-18,13.4260
2013-09-19,10.7175
2013-09-20,14.3447
2013-09-21,6.0769
2013-09-22,3.6988
2013-09-23,1.6601
2013-09-24,1.1258
2013-09-25,0.0000
2013-09-26,0.0000
2013-09-27,0.0000
2013-09-28,0.0000
2013-09-29,0.0000
2013-09-30,6.9989
2013-10-01,7.2517
2013-10-02,8.6826
2013-10-03,3.9383
2013-10-04,0.4420
2013-10-05,0.0000
2013-10-06,0.2696
2013-10-07,1.9593
2013-10-08,1.1665
2013-10-09,38.9193
2013-10-10,1.9004
2013-10-11,0.3428
2013-10-12,2.9048
2013-10-13,4.6686
2013-10-14,2.3781
2013-10-15,0.0000
2013-10-16,3.6369
2013-10-17,20.9427
2013-10-18,0.0000
2013-10-19,31.2214
2013-10-20,22.3048
2013-10-21,1.1755
2013-10-22,25.6233
2013-10-23,4.7005
2013-10-24,3.4782
2013-10-25,1.5931
2013-10-26,8.0174
2013-10-27,0.0000
2013-10-28,0.0000
2013-10-29,0.0000
2013-10-30,2.3905
2013-10-31,0.0000
2013-11-01,3.3397
2013-11-02,0.0000
2013-11-03,10.7517
2013-11-04,4.3149
2013-11-05,11.1791
2013-11-06,0.0000
2013-11-07,0.0000
2013-11-08,0.0000
2013-11-09,0.5648
2013-11-10,0.0000
2013-11-11,0.0000
2013-11-12,0.9276
2013-11-13,27.9380
2013-11-14,0.0000
2013-11-15,0.1586
2013-11-16,31.8464
2013-11-17,0.0000
2013-11-18,0.1465
2013-11-19,5.6967
2013-11-20,0.4142
2013-11-21,0.0000
2013-11-22,42.6092
2013-11-23,0.0000
2013-11-24,1.6697
2013-11-25,0.0000
2013-11-26,62.8334
2013-11-27,2.1254
2013-11-28,5.3279
2013-11-29,0.0000
2013-11-30,0.0000
2013-12-01,0.0000
2013-12-02,12.6963
2013-12-03,0.6086
2013-12-04,0.0000
2013-12-05,0.0000
2013-12-06,0.0000
2013-12-07,0.0000
2013-12-08,0.0000
2013-12-09,0.0000
2013-12-10,0.0000
2013-12-11,0.0000
2013-12-12,0.0000
2013-12-13,0.5242
2013-12-14,0.0000
2013-12-15,4.6995
2013-12-16,0.5513
2013-12-17,0.0000
2013-12-18,0.0000
2013-12-19,0.0000
2013-12-20,0.0000
2013-12-21,0.0000
2013-12-22,0.0000
2013-12-23,0.0000
2013-12-24,0.0000
2013-12-25,0.0000
2013-12-26,0.0000
2013-12-27,0.0000
2013-12-28,0.0000
2013-12-29,0.0000
2013-12-30,0.0000
2013-12-31,0.0000
2014-01-01,0.0000
2014-01-02,0.0000
2014-01-03,0.0000
2014-01-04,0.0000
2014-01-05,0.0000
2014-01-06,0.0000
2014-01-07,0.0000
2014-01-08,0.0000
2014-01-09,0.0000
2014-01-10,0.0000
